name,category
G'apicole - Les Ruches De La Courtavaux,confitures-miel-confiseries
Earl Des Grandes Vignes,cereales-farines-graines
Domaine Du Clos Des Poulettes,boissons-alcoolisees
Domaine Gachot-monot,boissons-alcoolisees
Gougere & Meurette Traiteur,"aperitif, condiments-huiles-epices, traiteur"
Domaine Philippe Robert,boissons-alcoolisees
Epatantes de Bourgogne,"cereales-farines-graines, traiteur"
Brasserie Elixkir,
Fromagerie De Dampierre-en-montagne,produits-laitier-oeufs
Brasserie Des 38 Pintes 1/2,"boissons-alcoolisees, boissons-sans-alcool"
Coeur De Bourgogne,viande-charcuterie-escargots
Earl De La Creusotte,viande-charcuterie-escargots
Ferme Du Poiset,produits-laitier-oeufs
A Fleur de Miel,confitures-miel-confiseries
Au Gramme Près,"aperitif, biscuits-gateaux-patisserie, boissons-alcoolisees, boissons-sans-alcool"
De Point En Point,"atelier-artisanat-culture, hygiene"
Druydès,"animaux, cosmetiques"
Envie De Pâtes,"biscuits-gateaux-patisserie, cereales-farines-graines, traiteur"
Fruimalin,"biscuits-gateaux-patisserie, boissons-sans-alcool, confitures-miel-confiseries"
Futura Food,aperitif
La Ferme De Bray,"cereales-farines-graines, viande-charcuterie-escargots, condiments-huiles-epices, legumes"
Le Coq En Pâte,traiteur
Le Goût Des Sens,cafe-the-infusions
Le Potager Des Ducs,legumes
Les Douceurs Du Colibri,biscuits-gateaux-patisserie
Miellerie Degrâce,"boissons-alcoolisees, complements-alimentaires, confitures-miel-confiseries"
Le Jardin Des Illottes,legumes
Rucher De La Forêt,"condiments-huiles-epices, confitures-miel-confiseries, champignons"
Ferme De La Goutte D'or,"cereales-farines-graines, condiments-huiles-epices"
Earl De La Vallée Du Serein,legumes
L'escargot De La Coquille,viande-charcuterie-escargots
Ferme Des Quintefeuilles,produits-laitier-oeufs
Ferme Du Mont Lassois,"cereales-farines-graines, condiments-huiles-epices, produits-laitier-oeufs"
Ferme la Bussière,viande-charcuterie-escargots
La Ferme Du Clos Simonin,viande-charcuterie-escargots
A Edelweiss,"complements-alimentaires, condiments-huiles-epices, cosmetiques, fleurs-arbres"
Ruchers Vergers D’alésia,"boissons-sans-alcool, confitures-miel-confiseries"
La Ferme Du Faubourg,"foie-gras-confits, volailles-gibiers"
Bergerie Du Bas De Gouey,viande-charcuterie-escargots
Le Rhubarbiculteur Des Hautes Côtes,legumes
La Petite Semeuse,legumes
Pascale Allaguillaume,"legumes, paniers-composes, plants-graines"
La Ferme De Bâlon,"animaux, atelier-artisanat-culture, biscuits-gateaux-patisserie, viande-charcuterie-escargots"
Ferme Du Pontot,produits-laitier-oeufs
Husson Traiteur,"aperitif, biscuits-gateaux-patisserie, traiteur"
Le Noir De Bourgogne,"viande-charcuterie-escargots, traiteur"
Earl De Borgirault,
Laurence Bruey,champignons
Le Potager De La Charme,legumes
Ferme De La Petite Montagne,"boissons-sans-alcool, cereales-farines-graines, condiments-huiles-epices, confitures-miel-confiseries"
La Ferme Du Pont,"boissons-alcoolisees, viande-charcuterie-escargots, condiments-huiles-epices, fleurs-arbres"
Boulangerie Du Cheval Gris,"biscuits-gateaux-patisserie, boulangerie"
Gigon,confitures-miel-confiseries
La Grange Rocheloise,traiteur
Juat Eco Friendly,"atelier-artisanat-culture, cosmetiques, vetements, maison-entretien"
Earl Des Acacias,legumes
Aux Herbes!,"aperitif, boissons-sans-alcool, cafe-the-infusions, condiments-huiles-epices"
La Ferme De Neuvelle,"cereales-farines-graines, fruits, legumes"
Le Verger Des Bonnevie,"boissons-sans-alcool, fruits"
Aux Rythmes De La Terre,"boissons-sans-alcool, condiments-huiles-epices, confitures-miel-confiseries, plantes-aromatiques-medicinales"
Poissonnerie Nirvana,"poissons-mollusques-crustaces, traiteur"
Brasserie Des Ducs,boissons-alcoolisees
Le Rucher De L'ours Brun,confitures-miel-confiseries
Brin D'ortie,"boissons-sans-alcool, cafe-the-infusions, condiments-huiles-epices, fleurs-arbres"
Cafés Biacelli,cafe-the-infusions
La Chouette Fabrique,"aperitif, biscuits-gateaux-patisserie"
Brasserie Artisanale La Luxoise,boissons-alcoolisees
Le Jardin De L'hêtre,"fleurs-arbres, fruits, legumes, plantes-aromatiques-medicinales"
Gaec Belmont,"cereales-farines-graines, legumes"
Aux Goûts Liés,boulangerie
Earl De Bonvent,cereales-farines-graines
Rucher De Fontenay,"biscuits-gateaux-patisserie, confitures-miel-confiseries"
La Ferme De Martrois,viande-charcuterie-escargots
Domaine Brigand G.,boissons-alcoolisees
Earl Guillemard-pothier,boissons-alcoolisees
Artisan Boulanger Bio L'ami Du Levain,boulangerie
La Ferme Des Marcs D'or,"boissons-alcoolisees, boissons-sans-alcool, fruits, legumes"
L'escargot B,
La Rose D Or,"plantes-aromatiques-medicinales, plants-graines"
3deltafr,atelier-artisanat-culture
Salaisons Du Morvan,viande-charcuterie-escargots
Fromagerie Rouaud,produits-laitier-oeufs
Gaec Colson,"biscuits-gateaux-patisserie, produits-laitier-oeufs"
La Mobil’oeufs,produits-laitier-oeufs
La Fée Végé,"cours-visites, biscuits-gateaux-patisserie, traiteur"
Le Moulin De Leopaul,cereales-farines-graines
Elevage Des Coteaux,volailles-gibiers
Crémant Claude Gheeraert,boissons-alcoolisees
Distillerie A.méan,"aperitif, boissons-alcoolisees"
Les Volailles D'anne-marie,"produits-laitier-oeufs, volailles-gibiers"
Earl De La Bergerie,"viande-charcuterie-escargots, traiteur"
Fromages Fermiers De La Vallée De La Bèze,produits-laitier-oeufs
Domaine Aubrun-maupoil,boissons-alcoolisees
Brasserie Nova Villa,boissons-alcoolisees
Domaine Guillaume Legou,boissons-alcoolisees
Ferme Fruirouge,"aperitif, boissons-alcoolisees, boissons-sans-alcool, condiments-huiles-epices"
Ferme Nova Villa,"boissons-alcoolisees, produits-laitier-oeufs"
Snc La Ferme Des Marronniers,"produits-laitier-oeufs, traiteur"
L'épicerie De Virginie,"aperitif, biscuits-gateaux-patisserie, cereales-farines-graines, condiments-huiles-epices"
Domaine Denis,boissons-alcoolisees
Brasserie La Source,boissons-alcoolisees
L'arbre Tordu,"atelier-artisanat-culture, fleurs-arbres, plantes-aromatiques-medicinales, plants-graines"
Lycée Agricole,"aperitif, biscuits-gateaux-patisserie, boissons-sans-alcool, cereales-farines-graines"
Miss Demoiselles,atelier-artisanat-culture
Sarl Vincent Debut,"biscuits-gateaux-patisserie, traiteur"
Sebastien Henon Chocolatier Confiseur,biscuits-gateaux-patisserie
Mél'anges Pâtisserie,"biscuits-gateaux-patisserie, boulangerie"
La P'tite Ferme,"cereales-farines-graines, viande-charcuterie-escargots, confitures-miel-confiseries, foie-gras-confits"
Déliceries,biscuits-gateaux-patisserie
Microbrasserie La Clé De Voute,boissons-alcoolisees
Pascal Laprée,"cereales-farines-graines, viande-charcuterie-escargots, foie-gras-confits, traiteur"
Pré Vert,"condiments-huiles-epices, legumes"
La Safranerie Templière,"condiments-huiles-epices, cosmetiques"
Cook Evénement,"aperitif, biscuits-gateaux-patisserie, foie-gras-confits, traiteur"
Ferme Des Capri-rêves,produits-laitier-oeufs
Lamandine,"cafe-the-infusions, cosmetiques"
Terra Nova,legumes
Fabrice Maître,"fruits, legumes"
Les Jardins Du Basmont,"legumes, plantes-aromatiques-medicinales, plants-graines"
Viard Françoise,"legumes, plantes-aromatiques-medicinales"
Les Champs Du Destin,"biscuits-gateaux-patisserie, boissons-alcoolisees, boulangerie, cereales-farines-graines"
Frost,legumes
La Brigade Des épices,condiments-huiles-epices
Les Créas D'angie,"atelier-artisanat-culture, vetements, hygiene"
Mairet Creations,"biscuits-gateaux-patisserie, confitures-miel-confiseries"
Savonnerie Bella Ciao,cosmetiques
Cha'patiss,"aperitif, biscuits-gateaux-patisserie, boissons-sans-alcool, boulangerie"
Le Shop Zéro Déchet,"atelier-artisanat-culture, cosmetiques, vetements, maison-entretien"
Com'1 Chou Pâtisserie,boulangerie
Le Meix D'or Bio,"condiments-huiles-epices, legumes"
Les Brassages Du Meix,"boissons-alcoolisees, condiments-huiles-epices, maison-entretien"
Moulin Maurice Anne Sophie,cereales-farines-graines
Abbaye De Citeaux,"biscuits-gateaux-patisserie, produits-laitier-oeufs"
La Ferme Du Colombier,produits-laitier-oeufs
Sas Marc Billotte Moulins De Ravieres,"biscuits-gateaux-patisserie, cereales-farines-graines"
Fourcade Laurence,viande-charcuterie-escargots
Les Volailles De Rochefontaine,"produits-laitier-oeufs, volailles-gibiers"
Association Gren - Le Jardin Du Viaduc,"fruits, legumes, paniers-composes"
L'abeille De Saulieu,confitures-miel-confiseries
Apis Olira,cosmetiques
Poul'et Compagnie,"confitures-miel-confiseries, volailles-gibiers"
Henri De Villamont,boissons-alcoolisees
Les Diableries,"boissons-sans-alcool, confitures-miel-confiseries, traiteur"
La Corne Vaudrille,produits-laitier-oeufs
Chez Elsa & Nicolas,"biscuits-gateaux-patisserie, traiteur"
Marmelure & Confitade,confitures-miel-confiseries
Les Petits Péchés Bourguignons,produits-laitier-oeufs
Brasserie Petitdemange Bière Du Fournil,boissons-alcoolisees
La Note Du Colibri,"aperitif, biscuits-gateaux-patisserie, boissons-sans-alcool, condiments-huiles-epices"
L'escargot D'isa,viande-charcuterie-escargots
La Champignonnière De Tanay,champignons
La Main à La Pâte,"aperitif, biscuits-gateaux-patisserie"
Domaine Aurélien Febvre,boissons-alcoolisees
Chevrerie De Val-mont,produits-laitier-oeufs
Un Groin De Paradis,viande-charcuterie-escargots
Sas Chargueros Et Associes,viande-charcuterie-escargots
Brasserie Hop'art,boissons-alcoolisees
L'escargot bourguignon,"animaux, aperitif, cours-visites, viande-charcuterie-escargots"
Aux Portes De L'acacia,boissons-alcoolisees
Truites de l'Aube,"aperitif, poissons-mollusques-crustaces, traiteur"
Dam’s Creation,atelier-artisanat-culture
Domaine Jérôme Massé,boissons-alcoolisees
Les Creations De Stouf,"atelier-artisanat-culture, vetements, maison-entretien, hygiene"
Brasserie Burgonde,"boissons-alcoolisees, foie-gras-confits, paniers-composes"
La Fabrique à Tofu,traiteur
Le Jardin Du Ti Bout,"fleurs-arbres, fruits, legumes, plantes-aromatiques-medicinales"
Bernard Rion,"aperitif, boissons-alcoolisees, boissons-sans-alcool, condiments-huiles-epices"
Domaine Mongeard-mugneret,boissons-alcoolisees
Ferme De La Mouillotte,"viande-charcuterie-escargots, produits-laitier-oeufs"
Chez Mathurin,viande-charcuterie-escargots
